model_id,rank,ensemble_weight,type,cost,duration
629,1,0.38,sgd,0.4123879380603097,0.508908748626709
814,2,0.02,lda,0.4148329258353708,0.6528346538543701
184,3,0.02,lda,0.4156479217603912,0.533240795135498
666,4,0.02,lda,0.417277913610432,0.5700845718383789
586,5,0.04,random_forest,0.4180929095354523,1.427276849746704
376,6,0.38,random_forest,0.41972290138549306,1.4652676582336426
939,7,0.04,lda,0.41972290138549306,0.6102583408355713
274,8,0.08,lda,0.42216788916055414,0.694544792175293
358,9,0.02,liblinear_svc,0.42216788916055414,0.6303658485412598
