;Dataset;Model;Value;Number
0;all_games_champs_only;normal;blue;0,5347205419791918
1;all_games_champs_only;normal;Accuracy;0,57
2;all_games_champs_only;normal;Train_Accuracy;0,58
3;all_games_champ_stats_only;normal;blue;0,5347205419791918
4;all_games_champ_stats_only;normal;Accuracy;0,57
5;all_games_champ_stats_only;normal;Train_Accuracy;0,58
6;all_games_matchups;normal;blue;0,5347205419791918
7;all_games_matchups;normal;Accuracy;0,57
8;all_games_matchups;normal;Train_Accuracy;0,66
9;all_games_simple_v2;normal;blue;0,5347205419791918
10;all_games_simple_v2;normal;Accuracy;0,59
11;all_games_simple_v2;normal;Train_Accuracy;0,68
