,count,mean,std,min,25%,50%,75%,max
bluetop,2840.0,148.67007042253522,146.32242772461697,2.0,58.0,106.0,164.0,876.0
bluetopgp,2840.0,10.480985915492958,10.173330050935547,0.0,3.0,7.0,14.0,72.0
bluetopwr,2840.0,0.49385915492957755,0.26808040283059603,0.0,0.33,0.5,0.67,1.0
bluetopkda,2840.0,3.260105633802817,2.6103304923769426,0.0,2.0,2.8,3.8,36.0
bluejgl,2840.0,193.4968309859155,275.4608383537124,2.0,76.0,102.0,141.0,876.0
bluejglgp,2840.0,8.284507042253521,8.064029566291467,0.0,3.0,6.0,11.0,103.0
bluejglwr,2840.0,0.4998450704225352,0.27911923809993305,0.0,0.33,0.5,0.67,1.0
bluejglkda,2840.0,4.19306338028169,2.9902538263438294,0.0,2.5,3.6,5.0,37.0
bluemid,2840.0,157.21795774647887,183.11374392399455,1.0,61.0,112.0,161.0,875.0
bluemidgp,2840.0,10.522887323943662,11.687285510068248,0.0,3.0,7.0,14.0,85.0
bluemidwr,2840.0,0.48284859154929577,0.27743926339466,0.0,0.33,0.5,0.67,1.0
bluemidkda,2840.0,4.20887323943662,3.0889077873745605,0.0,2.6,3.7,5.0,42.0
blueadc,2840.0,205.00598591549297,162.84696872539624,15.0,135.0,145.0,235.0,523.0
blueadcgp,2840.0,12.510915492957746,13.200751171691207,0.0,3.0,8.0,17.0,117.0
blueadcwr,2840.0,0.47502112676056335,0.265669748358394,0.0,0.33,0.5,0.65,1.0
blueadckda,2840.0,4.438732394366198,3.3584798510179357,0.0,2.8,4.0,5.2,44.0
bluesup,2840.0,158.68838028169014,202.25796655699224,3.0,12.0,79.0,201.0,875.0
bluesupgp,2840.0,11.127816901408451,11.922117263766529,0.0,3.0,7.0,14.0,92.0
bluesupwr,2840.0,0.48439436619718307,0.26076671728155054,0.0,0.33,0.5,0.67,1.0
bluesupkda,2840.0,3.237464788732395,2.2764916299128704,0.0,2.1,2.9,3.9,30.0
redtop,2840.0,157.43661971830986,159.67290512056348,6.0,58.0,114.0,164.0,875.0
redtopgp,2840.0,9.782394366197183,9.645668929690729,0.0,3.0,6.5,13.0,66.0
redtopwr,2840.0,0.5110070422535211,1.8875591026307823,0.0,0.33,0.5,0.67,100.0
redtopkda,2840.0,3.112147887323944,2.3098706140324694,0.0,2.0,2.8,3.8,36.0
redjgl,2840.0,222.67464788732394,298.7489161330675,2.0,76.0,104.0,163.0,876.0
redjglgp,2840.0,8.09330985915493,7.688691826067651,0.0,3.0,6.0,11.0,63.0
redjglwr,2840.0,0.4799823943661972,0.2777365992623582,0.0,0.33,0.5,0.67,1.0
redjglkda,2840.0,3.98919014084507,2.716094136955582,0.0,2.5,3.5,4.8,29.0
redmid,2840.0,155.89542253521128,181.05584808831458,1.0,61.0,112.0,236.0,876.0
redmidgp,2840.0,10.191549295774648,11.89373811737734,0.0,3.0,6.0,13.0,96.0
redmidwr,2840.0,0.46414084507042247,0.2800405694845455,0.0,0.32,0.5,0.67,1.0
redmidkda,2840.0,4.105739436619718,3.070337609333567,0.0,2.5,3.6,5.0,36.0
redadc,2840.0,216.48767605633802,171.42866680217654,3.0,135.0,145.0,235.0,875.0
redadcgp,2840.0,12.15,12.538719180589359,0.0,3.0,8.0,17.0,83.0
redadcwr,2840.0,0.4596161971830986,0.2639505872767689,0.0,0.3,0.5,0.64,1.0
redadckda,2840.0,4.271302816901408,3.165013878239098,0.0,2.7,3.8,5.1,44.0
redsup,2840.0,163.5975352112676,206.03507618385302,3.0,14.0,79.0,201.0,875.0
redsupgp,2840.0,10.723591549295774,11.810020452172454,0.0,3.0,7.0,14.0,92.0
redsupwr,2840.0,0.4688204225352113,0.2704196498835588,0.0,0.33,0.5,0.65,1.0
redsupkda,2840.0,3.149366197183099,2.2206878069049125,0.0,2.0,2.9,3.7,27.0
